Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std,Data
0.0,0.09090909090909091,0.7517999242137173,0.8748231196255578,0.5410455595213101,0.10501323514742146,0.6937252512945474,0.7321783584209033,0.6660412757973733,0.16437634596356393,2000-02-01
0.0,0.1818181818181818,0.6338575217885563,0.7571568520735821,0.506613478899853,0.11246312684365795,0.6410295461468168,0.6830445896052258,0.6119449656035021,0.0,2000-03-01
0.0,0.2727272727272727,0.6679613489958318,0.7582453466855339,0.5800965777871089,0.1542527040314652,0.6041730124885775,0.6441351888667993,0.5791119449656035,0.02570281124497935,2000-04-01
0.0,0.36363636363636365,0.6560250094732853,0.7685860454990747,0.5336972496325844,0.11541297935103256,0.6014316174230886,0.6052257881283728,0.6163227016885553,0.23132530120481865,2000-05-01
0.0,0.4545454545454545,0.6700454717696097,0.8267116577772939,0.4526558891454966,0.0023352999016716864,0.5374657325616813,0.5725646123260438,0.5209505941213257,0.0787148594377503,2000-06-01
0.0,0.5454545454545454,0.5531451307313375,0.7132905192119299,0.41234516061305904,0.10680924287118977,0.4511117879987815,0.4882135756887248,0.43652282676672916,0.1004016064257024,2000-07-01
0.0,0.6363636363636364,0.5121258052292534,0.6960923043430934,0.35460844005878644,0.09242871189773846,0.41060006091989,0.456120420335132,0.38868042526579094,0.06827309236947735,2000-08-01
0.0,0.7272727272727273,0.6176582038651002,0.7602046369870468,0.4648330883896703,0.08456243854473963,0.48735912275357907,0.537063334280034,0.45716072545340825,0.015261044176706382,2000-09-01
0.0,0.8181818181818182,0.6359416445623342,0.800696636551649,0.4272517321016166,0.016838741396263686,0.554371002132196,0.5441635898892362,0.5869293308317698,0.32851405622489993,2000-10-01
0.0,0.9090909090909091,0.5799545282303902,0.7760966583215412,0.35061935754776397,0.10501323514742146,0.5950350289369478,0.6401590457256462,0.5647279549718573,0.16437634596356393,2000-11-01
0.0,0.9999999999999999,0.7683781735505872,0.8133231740502884,0.6964098257400798,0.16015240904621442,0.622601279317697,0.6571996591877308,0.6025641025641024,0.04899598393574255,2000-12-01
0.04000000000000625,0.0,0.6374573702159909,0.7381081963644279,0.551333193365526,0.16015240904621442,0.6424002436795612,0.6677080374893497,0.6316447779862413,0.0939759036144567,2001-01-01
0.04000000000000625,0.09090909090909091,0.6298787419477074,0.7894851420485468,0.43543984883476805,0.03429203539823012,0.5893999390801096,0.6148821357568873,0.5809881175734832,0.11325301204819263,2001-02-01
0.04000000000000625,0.1818181818181818,0.6736453201970444,0.7714161314901491,0.5672895234096157,0.1318829891838742,0.6536704233932377,0.6819085487077535,0.639149468417761,0.07309236947791077,2001-03-01
0.04000000000000625,0.2727272727272727,0.7335164835164835,0.857407205834331,0.5341171530547973,0.015363815142576296,0.61117879987816,0.6231184322635616,0.6166353971232019,0.18152610441767109,2001-04-01
0.04000000000000625,0.36363636363636365,0.5428192497158013,0.7470338521824316,0.32437539365945833,0.017207472959685402,0.4587267742918061,0.4785572280602103,0.46278924327704796,0.19518072289156524,2001-05-01
0.04000000000000625,0.4545454545454545,0.497915877226222,0.7260259061717644,0.2653789628385471,0.006391347099311791,0.360188851660067,0.41891508094291396,0.3261413383364602,0.01285140562249024,2001-06-01
0.04000000000000625,0.5454545454545454,0.582701780977643,0.7193860890388591,0.46609279865630904,0.1313913470993118,0.41562595187328644,0.4691848906560635,0.3846153846153846,0.020883534136545933,2001-07-01
0.04000000000000625,0.6363636363636364,0.5631868131868132,0.7538913682377271,0.35628805374763806,0.028146509341199704,0.5065488882120012,0.5467196819085488,0.4859287054409005,0.06184738955823166,2001-08-01
0.04000000000000625,0.7272727272727273,0.669761273209549,0.7781647980842494,0.545664497165652,0.11160275319567367,0.558330795004569,0.6003976143141153,0.5331457160725452,0.0313253012048189,2001-09-01
0.04000000000000625,0.8181818181818182,0.5689655172413793,0.7697833895722215,0.33844215830359015,0.10501323514742146,0.5039597928723728,0.5552399886395912,0.47123202001250775,0.16437634596356393,2001-10-01
0.04000000000000625,0.9090909090909091,0.6060060629026144,0.7448568629585283,0.4686122191895864,0.10410521140609637,0.5383795309168443,0.5535359272933825,0.5437773608505316,0.1911646586345379,2001-11-01
