Município,Produtividade (t/ha),SG_mean_mes_2,EVI_mean_mes_7,EVI_mean_mes_8,SG_mean_mes_7,SG_mean_mes_3,EVI_critical_mean,EVI_critical_min,EVI_critical_max,EVI_critical_std,SG_critical_mean,SG_critical_min,SG_critical_max,SG_critical_std
Nova Friburgo,31.145,0.5716000000000001,0.5036,0.4686,0.49665,0.5265500000000001,0.5209333333333334,0.4404,0.6188,0.09045426100153234,0.5007,0.43385,0.5716000000000001,0.06896424798400985
Teresópolis,28.700000000000003,0.52845,0.45845,0.43835,0.4667,0.4952,0.48518333333333336,0.45845,0.52135,0.032493742987432704,0.4878,0.4667,0.52845,0.03521246228254989
