Município,Produtividade (t/ha),SG_mean_mes_2,SG_critical_max,EVI_mean_mes_7,EVI_critical_mean,EVI_mean_mes_8,SG_mean_mes_7,SG_mean_mes_3,EVI_critical_max
Nova Friburgo,31.145,0.5716000000000001,0.5716000000000001,0.5036,0.5209333333333334,0.4686,0.49665,0.5265500000000001,0.6188
Teresópolis,28.700000000000003,0.52845,0.52845,0.45845,0.48518333333333336,0.43835,0.4667,0.4952,0.52135
