Município,Tipo de Lavoura,EVI_mean,Produtividade (t/ha)
Nova Friburgo,Temporária,0.48242083333333335,39.83
Nova Friburgo,Permanente,0.48242083333333335,22.46
Teresópolis,Temporária,0.45821249999999997,37.480000000000004
Teresópolis,Permanente,0.45821249999999997,19.919999999999998
