Ano,Mês,EVI_mean,EVI_min,EVI_max,EVI_std,SG_mean,SG_min,SG_max,SG_std
2004,5,0.49375,0.4912,0.4963,0.0036062445840513878,0.44825,0.4463,0.4502,0.0027577164466275456
2004,6,0.44830000000000003,0.4242,0.4724,0.034082546853191543,0.4713,0.4711,0.4715,0.00028284271247458785
2004,7,0.4616,0.4531,0.4701,0.012020815280171319,0.44755,0.4449,0.4502,0.0037476659402886814
2004,8,0.4073,0.4024,0.4122,0.006929646455628187,0.41295000000000004,0.3977,0.4282,0.021566756826189738
2004,9,0.3562,0.3184,0.394,0.053457272657702996,0.36405,0.3495,0.3786,0.020576807332528545
2004,10,0.36739999999999995,0.3656,0.3692,0.0025455844122715854,0.3749,0.3643,0.3855,0.014990663761154805
2004,11,0.3536,0.3536,0.3536,,0.4013,0.4013,0.4013,
2004,12,0.4317,0.3745,0.4889,0.08089301576774102,0.35009999999999997,0.3157,0.3845,0.048648946545634474
2005,1,0.19415,0.1423,0.246,0.07332697320904497,0.26245,0.2514,0.2735,0.015627059864222706
2005,2,0.28475,0.1795,0.39,0.14884597743976827,0.25875,0.2287,0.2888,0.04249711754931153
2005,3,0.3761,0.3731,0.3791,0.004242640687119289,0.40005,0.37,0.4301,0.04249711754931148
2005,4,0.49034999999999995,0.4533,0.5274,0.05239661248592315,0.45985,0.4588,0.4609,0.0014849242404917434
2005,5,0.4468,0.421,0.4726,0.036486709909225895,0.4457,0.4401,0.4513,0.007919595949289324
2005,6,0.398,0.3774,0.4186,0.02913279938488577,0.43205000000000005,0.4292,0.4349,0.004030508652763329
2005,7,0.48160000000000003,0.4779,0.4853,0.005232590180780444,0.43784999999999996,0.4191,0.4566,0.026516504294495535
2005,8,0.4138,0.3461,0.4815,0.09574225817265851,0.385,0.37,0.4,0.021213203435596444
2005,9,0.28195000000000003,0.1739,0.39,0.1528057754144129,0.3338,0.3302,0.3374,0.005091168824543131
2005,10,0.3616,0.3616,0.3616,,0.3897,0.3897,0.3897,
2005,11,0.44525,0.4276,0.4629,0.024960869375885125,0.4399,0.4036,0.4762,0.05133595231414335
2005,12,0.48075,0.3783,0.5832,0.14488617946512358,0.49319999999999997,0.4759,0.5105,0.02446589462905452
2006,1,0.5407,0.5059,0.5755,0.049214631970583664,0.5446,0.5362,0.553,0.011879393923934063
2006,2,0.58955,0.5612,0.6179,0.040092954493277225,0.5379499999999999,0.5376,0.5383,0.0004949747468306465
2006,3,0.43779999999999997,0.3971,0.4785,0.057558491988584926,0.48429999999999995,0.4719,0.4967,0.01753624817342635
2006,4,0.45945,0.4571,0.4618,0.003323401871576741,0.429,0.4246,0.4334,0.00622253967444164
2006,5,0.4109,0.4105,0.4113,0.0005656854249492542,0.42235,0.4195,0.4252,0.004030508652763348
2006,6,0.39865,0.3892,0.4081,0.013364318164425768,0.3917,0.3913,0.3921,0.0005656854249492542
2006,7,0.37825,0.3735,0.383,0.006717514421272227,0.4065,0.3944,0.4186,0.017111984104714508
2006,8,0.42355,0.3848,0.4623,0.05480077554195744,0.3941,0.3898,0.3984,0.006081118318204287
2006,9,0.31915,0.2068,0.4315,0.15888689373261722,0.36365000000000003,0.3522,0.3751,0.01619274528917194
2006,10,0.4691,0.4691,0.4691,,0.3308,0.3308,0.3308,
2006,11,0.3302,0.2651,0.3953,0.09206530291048848,0.36575,0.3542,0.3773,0.016334166645409254
